date,name,value,rank,lastValue
2022-01-10,Khruangbin,0,49,0
2022-01-10,LUDMILLA,0,48,0
2022-01-10,Lilas Ikuta,0,47,0
2022-01-10,Lô Borges,1,20,1
2022-01-10,MC Primitivo,4,2,4
2022-01-10,Masayuki Suzuki,0,46,0
2022-01-10,Novos Baianos,0,45,0
2022-01-10,O'Donel Levy,0,44,0
2022-01-10,Official HIGE DANdism,0,43,0
2022-01-10,Papatinho,0,42,0
2022-01-10,Paulinho da Viola,0,41,0
2022-01-10,Phoenix,3,7,2
2022-01-10,Pomplamoose,1,19,1
2022-01-10,RADWIMPS,0,40,0
2022-01-10,Rage Against the Machine,2,15,2
2022-01-10,Red Hot Chili Peppers,2,14,1
2022-01-10,SILVIO RODRÍGUEZ,0,39,0
2022-01-10,Saint Motel,0,38,0
2022-01-10,Sakanaction,1,18,1
2022-01-10,Scary Pockets,0,37,0
2022-01-10,Taichi Mukai,3,6,3
2022-01-10,Tame Impala,0,36,0
2022-01-10,The Kooks,3,5,3
2022-01-10,The Strokes,2,13,2
2022-01-10,Two Door Cinema Club,0,35,0
2022-01-10,Victor Jara,0,34,0
2022-01-10,Vulfpeck,0,33,0
2022-01-10,Wednesday Campanella,3,4,3
