,streak,name,date
8328,2,O patrão é vagabundo (O Manifesto Comunista) - Camarada Janderson,2022-03-04 12:21:00
8385,2,Maria También - Khruangbin,2022-03-02 14:49:00
8500,2,Capitalismo maldito - Camarada Janderson,2022-02-27 13:52:00
8505,2,Love Is Life - Taichi Mukai,2022-02-26 22:28:00
8509,2,One - Aimer,2022-02-25 17:42:00
8514,2,Summertime - Oscar Peterson,2022-02-25 00:43:00
8621,2,Sulamericano - BaianaSystem,2022-02-21 16:04:00
8642,2,Fluorescent Adolescent - Arctic Monkeys,2022-02-21 14:26:00
8693,2,Irony - majiko,2022-02-19 14:43:00
8766,2,リセット - Taichi Mukai,2022-02-17 14:03:00
8783,2,DADDY ! DADDY ! DO ! - From THE FIRST TAKE - Masayuki Suzuki,2022-02-17 00:11:00
8820,2,Matryoshka - Wednesday Campanella,2022-02-16 15:16:00
8852,2,Puff - Wednesday Campanella,2022-02-16 13:06:00
8854,2,Ize of the World - The Strokes,2022-02-16 12:58:00
8855,2,警視庁から各局 - Masahiro Tokuda,2022-02-16 12:53:00
8857,2,Pretos de Classe Como Marighella - MC Primitivo,2022-02-16 12:45:00
8901,2,The Getaway - Red Hot Chili Peppers,2022-02-15 13:42:00
8950,2,505 - Arctic Monkeys,2022-02-14 18:47:00
9085,2,Goodbye - Apparat,2022-02-11 14:34:00
9099,2,Não Existe Amor Em SP - Criolo,2022-02-10 20:15:00
9173,2,ぬけがら - KANA-BOON,2022-02-07 21:54:00
9225,2,R U Mine? - Arctic Monkeys,2022-02-07 13:12:00
9246,2,Knee Socks - Arctic Monkeys,2022-02-06 20:41:00
9251,2,Snap Out of It - Arctic Monkeys,2022-02-06 20:25:00
9252,2,I Wanna Be Yours - Arctic Monkeys,2022-02-06 20:22:00
9288,2,Why'd You Only Call Me When You're High? - Arctic Monkeys,2022-02-06 02:27:00
9309,2,Maria También - Khruangbin,2022-02-03 20:03:00
9376,3,Ask Yourself - Foster the People,2022-01-28 19:59:00
9389,2,Babylon By Gus - Black Alien,2022-01-28 00:19:00
9534,2,Naive - The Kooks,2022-01-14 00:03:00
9536,2,Wareta Ringo - Watanabe Saki (CV: Risa Taneda),2022-01-13 23:55:00
9542,3,Canto para Atabaque - Tiganá Santana,2022-01-13 20:33:00
9624,2,Bola de Cristal - BaianaSystem,2022-01-08 11:07:00
9659,2,Pretos de Classe Como Marighella - MC Primitivo,2022-01-08 08:26:00
9685,2,Nonsense (feat. Mark Foster) - Madeon,2022-01-03 22:59:00
